ageRange,industry,annualSalary,addIncome,currency,workCountry,usState,usCity,overallProExp,fieldExp,eduLevel,gender,race,totalCompensation,compUSD
35-44,Nonprofits,72000,250.0,USD,USA,California,Remotely,11-20,11-20,College degree,Non-binary,White,72250.0,72250.0
45-54,Government and Public Administration,128000,0.0,USD,USA,District of Columbia,Washington,11-20,11-20,College degree,Woman,Black or African American,128000.0,128000.0
45-54,Biotech/pharmaceuticals,222000,120000.0,USD,USA,Massachusetts,Boston,11-20,11-20,Some college,Woman,White,342000.0,342000.0
35-44,Law,55000,2000.0,USD,USA,Missouri,Kansas City,8-10,5-7,College degree,Woman,White,57000.0,57000.0
35-44,Law,161730,3000.0,USD,USA,District of Columbia,Washington,8-10,8-10,"Professional degree (MD, JD, etc.)",Man,White,164730.0,164730.0
35-44,"Accounting, Banking & Finance",65000,0.0,USD,USA,Illinois,Chicago suburbs,11-20,8-10,College degree,Woman,White,65000.0,65000.0
35-44,Education (Primary/Secondary),67000,0.0,USD,USA,Maine,South portland ,11-20,11-20,Master's degree,Woman,White,67000.0,67000.0
35-44,Computing or Tech,75000,0.0,USD,USA,Idaho,Boise,11-20,8-10,College degree,Woman,White,75000.0,75000.0
45-54,Business or Consulting,60000,0.0,USD,USA,Colorado,Denver,11-20,11-20,College degree,Woman,White,60000.0,60000.0
35-44,Social Work,70000,0.0,USD,USA,New York,Rochester,11-20,11-20,Master's degree,Woman,White,70000.0,70000.0
35-44,Health care,117516,0.0,USD,USA,West Virginia,Martinsburg ,11-20,8-10,PhD,Woman,White,117516.0,117516.0
35-44,Utilities & Telecommunications,71000,5000.0,CAD,CANADA,,Calgary,11-20,11-20,College degree,Woman,Another option not listed here or prefer not to answer,76000.0,54720.0
45-54,Media & Digital,41600,0.0,USD,USA,Maine,Lewiston,21-30,21-30,College degree,Other or prefer not to answer,White,41600.0,41600.0
35-44,Government and Public Administration,80000,5000.0,CAD,CANADA,,Edmonton,21-30,21-30,College degree,Woman,White,85000.0,61200.0
25-34,Engineering or Manufacturing,70000,15000.0,USD,USA,Colorado,Longmont,5-7,5-7,College degree,Woman,White,85000.0,85000.0
35-44,"Accounting, Banking & Finance",71750,5740.0,USD,USA,California,Los Angeles ,11-20,2-4,Some college,Man,White,77490.0,77490.0
25-34,Nonprofits,50000,0.0,USD,USA,Massachusetts,Boston,5-7,5-7,College degree,Woman,White,50000.0,50000.0
25-34,Health care,48000,0.0,USD,USA,Florida,Tampa,8-10,2-4,College degree,Woman,White,48000.0,48000.0
45-54,Health care,175000,0.0,USD,USA,New York,Pelham,21-30,11-20,Master's degree,Woman,White,175000.0,175000.0
45-54,Library,65000,0.0,USD,USA,New York,New York City,21-30,5-7,Master's degree,Man,White,65000.0,65000.0
45-54,Government and Public Administration,28000,0.0,USD,USA,New Mexico,Truth or Consequences,21-30,8-10,College degree,Woman,"White, Another option not listed here or prefer not to answer",28000.0,28000.0
45-54,Health care,87360,0.0,USD,USA,Oregon,Hillsboro ,11-20,5-7,College degree,Woman,White,87360.0,87360.0
25-34,Retail,41000,600.0,USD,USA,California,Berkeley,11-20,2-4,College degree,Woman,Asian or Asian American,41600.0,41600.0
35-44,Computing or Tech,100000,0.0,USD,USA,Kansas,Overland Park ,11-20,5-7,College degree,Man,White,100000.0,100000.0
35-44,"Accounting, Banking & Finance",130000,25000.0,USD,USA,Tennessee,Nashville ,11-20,11-20,Master's degree,Woman,White,155000.0,155000.0
25-34,Recruitment or HR,60000,2000.0,USD,USA,Indiana,Oakbrook Terrace,5-7,5-7,College degree,Woman,"Black or African American, Hispanic, Latino, or Spanish origin, Native American or Alaska Native, White",62000.0,62000.0
55-64,"Accounting, Banking & Finance",62400,2500.0,USD,USA,California,Pasadena,31-40,11-20,Master's degree,Woman,White,64900.0,64900.0
35-44,Computing or Tech,158000,150000.0,USD,USA,Colorado,Boulder,11-20,11-20,College degree,Woman,White,308000.0,308000.0
35-44,Nonprofits,91000,3000.0,USD,USA,California,Oakland,11-20,11-20,Master's degree,Woman,White,94000.0,94000.0
25-34,Engineering or Manufacturing,150000,5000.0,USD,USA,California,Dublin,5-7,5-7,PhD,Man,Asian or Asian American,155000.0,155000.0
25-34,Real Estate Development,50000,8000.0,CAD,CANADA,,"Vancouver, British Columbia",8-10,5-7,College degree,Woman,White,58000.0,41760.0
45-54,Government and Public Administration,62150,4000.0,CAD,CANADA,,Edmonton,21-30,2-4,College degree,Woman,White,66150.0,47628.0
18-24,Engineering or Manufacturing,83000,0.0,USD,USA,Wisconsin,La Crosse,2-4,2-4,College degree,Woman,White,83000.0,83000.0
45-54,Health care,68000,2500.0,USD,USA,Virginia,Fairfax ,21-30,5-7,Some college,Woman,White,70500.0,70500.0
25-34,Renewable Energy,75000,3500.0,USD,USA,Illinois,Chicago,11-20,5-7,Master's degree,Woman,White,78500.0,78500.0
35-44,Nonprofits,71000,3550.0,USD,USA,Texas,Houston,5-7,5-7,Master's degree,Woman,White,74550.0,74550.0
25-34,"Accounting, Banking & Finance",64000,8000.0,USD,USA,New Hampshire,Merrimack,11-20,0-1,College degree,Woman,White,72000.0,72000.0
35-44,Computing or Tech,140000,0.0,USD,USA,Michigan,Detroit ,11-20,8-10,College degree,Woman,White,140000.0,140000.0
25-34,Education (Primary/Secondary),49000,0.0,USD,USA,Iowa,Central Iowa,0-1,0-1,College degree,Woman,White,49000.0,49000.0
25-34,Education (Higher Education),37008,0.0,GBP,UK,,London,2-4,2-4,PhD,Woman,White,37008.0,49590.72
25-34,"Accounting, Banking & Finance",82000,3000.0,USD,USA,Illinois,Chicago,11-20,5-7,Master's degree,Woman,White,85000.0,85000.0
55-64,Social Work,90000,0.0,USD,USA,Massachusetts,Chelmsford,11-20,11-20,Master's degree,Woman,White,90000.0,90000.0
45-54,"Accounting, Banking & Finance",65300,2000.0,USD,USA,Minnesota,Minneapolis,21-30,21-30,College degree,Woman,White,67300.0,67300.0
25-34,"Accounting, Banking & Finance",160000,160000.0,USD,USA,New York,New York,5-7,5-7,College degree,Man,Asian or Asian American,320000.0,320000.0
35-44,Education (Higher Education),83000,0.0,USD,USA,Massachusetts,Boston,11-20,11-20,Master's degree,Woman,White,83000.0,83000.0
18-24,Education (Higher Education),36400,0.0,USD,USA,Wisconsin,Madison,5-7,2-4,College degree,Woman,White,36400.0,36400.0
25-34,Computing or Tech,104000,5000.0,USD,USA,Pennsylvania,Pittsburgh ,2-4,2-4,PhD,Woman,White,109000.0,109000.0
25-34,Government and Public Administration,90000,0.0,USD,USA,Virginia,Richmond ,5-7,5-7,Master's degree,Woman,White,90000.0,90000.0
55-64,Utilities & Telecommunications,98000,1500.0,USD,USA,Connecticut,Monroe,31-40,21-30,College degree,Woman,White,99500.0,99500.0
35-44,Engineering or Manufacturing,65000,5000.0,USD,USA,Washington,Tacoma,11-20,5-7,College degree,Man,"Hispanic, Latino, or Spanish origin, White",70000.0,70000.0
55-64,Utilities & Telecommunications,29120,0.0,USD,USA,Maryland,Forest Hill,31-40,11-20,College degree,Woman,White,29120.0,29120.0
25-34,Government and Public Administration,87500,0.0,USD,USA,District of Columbia,washington dc,5-7,2-4,Master's degree,Woman,Black or African American,87500.0,87500.0
25-34,Education (Primary/Secondary),53000,6000.0,USD,USA,Iowa,Eastern Iowa,5-7,5-7,Master's degree,Woman,White,59000.0,59000.0
35-44,"Accounting, Banking & Finance",185000,25000.0,USD,USA,New York,New York ,11-20,11-20,Master's degree,Woman,Asian or Asian American,210000.0,210000.0
25-34,Education (Primary/Secondary),53000,2000.0,USD,USA,Arizona,Tempe,8-10,8-10,Master's degree,Woman,White,55000.0,55000.0
25-34,Education (Higher Education),32000,2000.0,USD,USA,Arizona,Phoenix/Tempe,8-10,5-7,"Professional degree (MD, JD, etc.)",Woman,White,34000.0,34000.0
35-44,Business or Consulting,283000,0.0,USD,USA,Ohio,Cincinnati,11-20,5-7,"Professional degree (MD, JD, etc.)",Man,Another option not listed here or prefer not to answer,283000.0,283000.0
55-64,Computing or Tech,79000,0.0,USD,USA,South Carolina,Clemson,21-30,21-30,College degree,Woman,White,79000.0,79000.0
45-54,Manufacturing ,78500,5000.0,USD,USA,Ohio,Cincinnati ,21-30,11-20,"Professional degree (MD, JD, etc.)",Woman,White,83500.0,83500.0
25-34,Health care,138000,0.0,USD,USA,Georgia,Atlanta,8-10,8-10,College degree,Woman,White,138000.0,138000.0
45-54,Insurance,42000,0.0,USD,USA,Alabama,Birmingham ,21-30,5-7,College degree,Woman,White,42000.0,42000.0
45-54,"Accounting, Banking & Finance",86000,12000.0,CAD,CANADA,,Toronto,31-40,5-7,Some college,Woman,White,98000.0,70560.0
25-34,Nonprofits,65000,1000.0,USD,USA,Massachusetts,Boston,8-10,5-7,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",66000.0,66000.0
35-44,Utilities & Telecommunications,150000,25000.0,USD,USA,Colorado,Denver,5-7,5-7,"Professional degree (MD, JD, etc.)",Woman,White,175000.0,175000.0
25-34,"Accounting, Banking & Finance",140000,50000.0,USD,USA,Illinois,Chicago,11-20,11-20,College degree,Woman,White,190000.0,190000.0
25-34,Media & Digital,32000,0.0,USD,USA,Florida,West Palm Beach,5-7,5-7,College degree,Man,White,32000.0,32000.0
45-54,Education (Higher Education),70000,10000.0,USD,USA,Washington,Yakima,11-20,11-20,PhD,Woman,White,80000.0,80000.0
25-34,"Accounting, Banking & Finance",60000,500.0,USD,USA,Washington,Seattle,8-10,8-10,College degree,Woman,White,60500.0,60500.0
25-34,Nonprofits,35000,0.0,USD,USA,Florida,Orlando,5-7,5-7,College degree,Woman,White,35000.0,35000.0
25-34,Health care,26000,100.0,USD,USA,Tennessee,Memphis,2-4,2-4,College degree,Woman,White,26100.0,26100.0
35-44,Insurance,95000,1000.0,USD,USA,Ohio,Cleveland,11-20,8-10,College degree,Woman,White,96000.0,96000.0
25-34,Nonprofits,53000,0.0,USD,USA,Nevada,Las Vegas,8-10,2-4,College degree,Woman,Black or African American,53000.0,53000.0
35-44,Agriculture or Forestry,50000,5000.0,USD,USA,Maryland,Baltimore,11-20,11-20,College degree,Woman,White,55000.0,55000.0
45-54,Health care,55000,2000.0,USD,USA,Idaho,Idaho  Falls ,21-30,21-30,College degree,Woman,White,57000.0,57000.0
55-64,Computing or Tech,133151,540.0,USD,USA,Massachusetts,Boston Area,31-40,31-40,Master's degree,Woman,White,133691.0,133691.0
35-44,Insurance,78000,10000.0,USD,USA,Connecticut,Hartford ,11-20,11-20,College degree,Woman,White,88000.0,88000.0
45-54,Nonprofits,70000,0.0,USD,USA,New York,Saranac Lake (it's a small town!),31-40,11-20,College degree,Woman,White,70000.0,70000.0
35-44,Insurance,78000,10000.0,USD,USA,Connecticut,Hartford ,11-20,11-20,College degree,Woman,White,88000.0,88000.0
35-44,Education (Primary/Secondary),25000,300.0,USD,USA,Iowa,Small town,8-10,8-10,College degree,Woman,White,25300.0,25300.0
35-44,Agriculture or Forestry,90000,0.0,USD,USA,Washington,Seattle,11-20,8-10,Master's degree,Woman,White,90000.0,90000.0
35-44,Nonprofits,85000,0.0,USD,USA,Florida,Fort Pierce,11-20,11-20,Master's degree,Woman,White,85000.0,85000.0
25-34,Education (Higher Education),50000,0.0,USD,USA,California,Torrance,11-20,5-7,College degree,Woman,White,50000.0,50000.0
35-44,Computing or Tech,175000,0.0,USD,USA,California,Bay Area,11-20,5-7,College degree,Woman,White,175000.0,175000.0
45-54,Computing or Tech,90000,20000.0,USD,USA,Washington,Redmond,11-20,11-20,High School,Woman,White,110000.0,110000.0
35-44,Education (Primary/Secondary),52000,0.0,USD,USA,North Carolina,Burlington,11-20,11-20,College degree,Woman,White,52000.0,52000.0
25-34,Nonprofits,80000,0.0,USD,USA,Minnesota,Minneapolis,5-7,5-7,PhD,Woman,White,80000.0,80000.0
25-34,Government and Public Administration,65000,0.0,USD,USA,California,Carmel,5-7,5-7,Master's degree,Woman,White,65000.0,65000.0
35-44,Engineering or Manufacturing,76968,4200.0,USD,USA,Texas,Austin,11-20,8-10,High School,Other or prefer not to answer,White,81168.0,81168.0
35-44,Nonprofits,71400,0.0,USD,USA,West Virginia,Morgantown ,11-20,11-20,PhD,Woman,White,71400.0,71400.0
35-44,Computing or Tech,195000,125000.0,USD,USA,Washington,Seattle,11-20,8-10,College degree,Woman,White,320000.0,320000.0
25-34,In-House Marketing,72000,9300.0,CAD,CANADA,,Ottawa,5-7,2-4,College degree,Woman,"Middle Eastern or Northern African, White, Another option not listed here or prefer not to answer",81300.0,58536.0
35-44,Business or Consulting,132000,15000.0,USD,USA,Pennsylvania,Philadelphia,11-20,2-4,Master's degree,Woman,White,147000.0,147000.0
25-34,Property or Construction,41600,0.0,USD,USA,Oregon,Salem,0-1,0-1,Master's degree,Woman,White,41600.0,41600.0
25-34,Manufacturing,50000,2500.0,USD,USA,Texas,Dallas,11-20,2-4,High School,Woman,"Black or African American, Hispanic, Latino, or Spanish origin, White",52500.0,52500.0
45-54,Computing or Tech,250000,50000.0,USD,USA,Oregon,Hillsboro,31-40,31-40,College degree,Man,White,300000.0,300000.0
45-54,Sales,125000,75000.0,USD,USA,Missouri,Kansas City,11-20,8-10,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",200000.0,200000.0
45-54,Education (Primary/Secondary),50000,200.0,USD,USA,Texas,Houston,31-40,11-20,College degree,Woman,White,50200.0,50200.0
25-34,Nonprofits,60667,0.0,USD,USA,Illinois,"Indian Head Park, IL",5-7,5-7,Master's degree,Man,White,60667.0,60667.0
25-34,Government and Public Administration,123000,0.0,USD,USA,District of Columbia,Washington,5-7,5-7,Master's degree,Woman,White,123000.0,123000.0
35-44,Insurance,75000,10000.0,USD,USA,Arizona,Phoenix,11-20,11-20,College degree,Woman,White,85000.0,85000.0
25-34,"Accounting, Banking & Finance",71000,3000.0,USD,USA,Colorado,Denver,2-4,2-4,College degree,Woman,White,74000.0,74000.0
45-54,Education (Higher Education),31702,1200.0,USD,USA,North Carolina,Durham,21-30,21-30,Master's degree,Woman,White,32902.0,32902.0
45-54,Trade association,185000,16000.0,USD,USA,District of Columbia,Washington DC,21-30,21-30,College degree,Woman,White,201000.0,201000.0
35-44,Law,250000,0.0,USD,USA,California,Monterey,8-10,5-7,"Professional degree (MD, JD, etc.)",Woman,White,250000.0,250000.0
65 or over,Computing or Tech,92000,0.0,USD,USA,Wisconsin,Madison,31-40,31-40,College degree,Man,White,92000.0,92000.0
25-34,Engineering or Manufacturing,66500,0.0,CAD,CANADA,,Vancouver,2-4,2-4,College degree,Woman,White,66500.0,47880.0
25-34,Nonprofits,140000,0.0,USD,USA,Massachusetts,Boston,8-10,8-10,Master's degree,Woman,Asian or Asian American,140000.0,140000.0
35-44,Education (Primary/Secondary),130000,0.0,USD,USA,Massachusetts,Boston,21-30,21-30,Master's degree,Woman,White,130000.0,130000.0
35-44,Nonprofits,49000,0.0,USD,USA,Oklahoma,Oklahoma City ,11-20,11-20,College degree,Woman,White,49000.0,49000.0
25-34,Business or Consulting,85000,0.0,USD,USA,Maryland,Silver Spring,8-10,5-7,Master's degree,Woman,White,85000.0,85000.0
25-34,Health care,62000,500.0,USD,USA,Illinois,Chicago,5-7,5-7,Master's degree,Woman,White,62500.0,62500.0
25-34,Education (Higher Education),56405,0.0,USD,USA,Illinois,Champaign,8-10,8-10,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White",56405.0,56405.0
35-44,Computing or Tech,145000,5000.0,USD,USA,Illinois,Chicago,11-20,11-20,College degree,Man,White,150000.0,150000.0
35-44,Computing or Tech,110000,0.0,USD,USA,Texas,Austin,11-20,8-10,College degree,Woman,White,110000.0,110000.0
45-54,Education (Higher Education),91000,0.0,USD,USA,Texas,Austin,11-20,8-10,Master's degree,Woman,White,91000.0,91000.0
25-34,Computing or Tech,92000,0.0,USD,USA,Illinois,Chicago,8-10,2-4,College degree,Non-binary,Another option not listed here or prefer not to answer,92000.0,92000.0
25-34,Insurance,66100,3000.0,USD,USA,Illinois, Chicago,11-20,5-7,College degree,Woman,White,69100.0,69100.0
25-34,Law,52000,0.0,USD,USA,Virginia,Fairfax,5-7,2-4,"Professional degree (MD, JD, etc.)",Woman,White,52000.0,52000.0
25-34,"Marketing, Advertising & PR",72000,0.0,USD,USA,Virginia,Reston,5-7,5-7,College degree,Woman,White,72000.0,72000.0
35-44,Insurance,67000,12000.0,USD,USA,Pennsylvania,Allentown,21-30,21-30,College degree,Woman,White,79000.0,79000.0
35-44,Media & Digital,135000,0.0,USD,USA,New York,New York City,11-20,11-20,College degree,Woman,White,135000.0,135000.0
25-34,Computing or Tech,190000,80000.0,USD,USA,California,San Francisco,5-7,5-7,College degree,Woman,White,270000.0,270000.0
25-34,Education (Higher Education),77000,0.0,USD,USA,Pennsylvania,Bethlehem,5-7,5-7,PhD,Woman,White,77000.0,77000.0
25-34,Nonprofits,18137,0.0,GBP,UK,,Isle of Wight,5-7,0-1,College degree,Non-binary,White,18137.0,24303.58
35-44,Business or Consulting,95000,0.0,CAD,CANADA,,Toronto,21-30,21-30,College degree,Woman,White,95000.0,68400.0
35-44,"Accounting, Banking & Finance",128000,14000.0,USD,USA,Virginia,Richmond ,11-20,11-20,College degree,Woman,White,142000.0,142000.0
25-34,"Marketing, Advertising & PR",48500,2000.0,CAD,CANADA,,Toronto,5-7,5-7,College degree,Woman,White,50500.0,36360.0
25-34,Computing or Tech,95000,9000.0,CAD,CANADA,,Vancouver,5-7,2-4,College degree,Woman,White,104000.0,74880.0
25-34,Computing or Tech,173000,11688.0,USD,USA,New York,New York ,8-10,5-7,Master's degree,Woman,Asian or Asian American,184688.0,184688.0
45-54,Computing or Tech,238000,515000.0,USD,USA,California,Mountain View,21-30,11-20,Master's degree,Woman,White,753000.0,753000.0
25-34,Nonprofits,48600,0.0,USD,USA,Texas,Houston,8-10,2-4,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American,48600.0,48600.0
45-54,Media & Digital,225000,50000.0,USD,USA,California,San Francisco ,21-30,21-30,Master's degree,Woman,White,275000.0,275000.0
35-44,Life sciences (not in academia),111000,0.0,USD,USA,Colorado,Prefer not to answer,11-20,11-20,PhD,Woman,White,111000.0,111000.0
25-34,Computing or Tech,77459,12000.0,USD,USA,Arkansas,Bentonville,2-4,2-4,College degree,Man,White,89459.0,89459.0
25-34,Computing or Tech,120000,0.0,USD,USA,Massachusetts,"Cambridge, MA",2-4,2-4,PhD,Woman,White,120000.0,120000.0
45-54,Property or Construction,129000,32000.0,USD,USA,Texas,Dallas,31-40,11-20,College degree,Woman,White,161000.0,161000.0
25-34,Sales,34112,0.0,USD,USA,Pennsylvania,Greencastle,2-4,2-4,College degree,Woman,White,34112.0,34112.0
45-54,Nonprofits,63000,0.0,USD,USA,Michigan,Ann Arbor,21-30,21-30,College degree,Woman,White,63000.0,63000.0
25-34,Nonprofits,47500,3000.0,USD,USA,New York,Dobbs ferry,2-4,2-4,College degree,Woman,White,50500.0,50500.0
45-54,Law,137000,150000.0,USD,USA,Florida,Tampa,21-30,21-30,"Professional degree (MD, JD, etc.)",Woman,White,287000.0,287000.0
35-44,"Accounting, Banking & Finance",79375,3000.0,USD,USA,Virginia,Richmond,11-20,11-20,Some college,Woman,Black or African American,82375.0,82375.0
25-34,Professional services,125000,0.0,USD,USA,Illinois,Chicago,11-20,11-20,College degree,Woman,Asian or Asian American,125000.0,125000.0
25-34,Media & Digital,91000,0.0,USD,USA,Ohio,Grove City (100% remote),8-10,5-7,Master's degree,Woman,White,91000.0,91000.0
35-44,Hospitality & Events,80000,500.0,USD,USA,Massachusetts,Springfield,11-20,11-20,College degree,Woman,White,80500.0,80500.0
35-44,Utilities & Telecommunications,106000,0.0,USD,USA,Pennsylvania,Pittsburgh,11-20,11-20,College degree,Woman,White,106000.0,106000.0
35-44,Computing or Tech,179000,50000.0,USD,USA,California,San Francisco ,11-20,2-4,College degree,Man,White,229000.0,229000.0
35-44,Property or Construction,65000,0.0,USD,USA,Oklahoma,Tulsa,11-20,11-20,College degree,Woman,White,65000.0,65000.0
35-44,Education (Higher Education),60000,0.0,USD,USA,California,Pomona,11-20,8-10,Master's degree,Woman,White,60000.0,60000.0
35-44,Education (Higher Education),127000,0.0,USD,USA,Illinois,Chicago,11-20,11-20,"Professional degree (MD, JD, etc.)",Woman,White,127000.0,127000.0
25-34,Biotech,81950,0.0,USD,USA,Michigan,Ann Arbor,2-4,2-4,PhD,Woman,White,81950.0,81950.0
25-34,Art & Design,65000,0.0,CAD,CANADA,,Toronto ,11-20,11-20,College degree,Woman,White,65000.0,46800.0
45-54,Insurance,112000,0.0,USD,USA,Maryland,Rockville,31-40,31-40,College degree,Woman,Asian or Asian American,112000.0,112000.0
25-34,Business or Consulting,54000,0.0,USD,USA,District of Columbia,DC,5-7,2-4,College degree,Woman,White,54000.0,54000.0
35-44,Government and Public Administration,80000,0.0,USD,USA,Minnesota,St. Paul,11-20,11-20,Master's degree,Woman,White,80000.0,80000.0
35-44,Education (Primary/Secondary),59000,0.0,USD,USA,Michigan,Kentwood,11-20,8-10,"Professional degree (MD, JD, etc.)",Woman,White,59000.0,59000.0
35-44,"Marketing, Advertising & PR",108000,12000.0,USD,USA,Oregon,Portland,11-20,8-10,Master's degree,Woman,White,120000.0,120000.0
25-34,"Marketing, Advertising & PR",57000,0.0,USD,USA,Minnesota,Minneapolis ,5-7,2-4,Master's degree,Woman,White,57000.0,57000.0
45-54,Insurance,57000,3000.0,USD,USA,Massachusetts,Boston,11-20,11-20,Master's degree,Woman,White,60000.0,60000.0
45-54,Education (Higher Education),64000,0.0,USD,USA,Oregon,Eugene,21-30,21-30,Master's degree,Woman,White,64000.0,64000.0
35-44,individual & family services,80000,0.0,CAD,CANADA,,toronto,11-20,11-20,Master's degree,Woman,White,80000.0,57600.0
65 or over,Agriculture or Forestry,75000,0.0,USD,USA,California,Saint Helena ,41+,21-30,College degree,Woman,White,75000.0,75000.0
45-54,Pharmaceuticals,205000,65000.0,USD,USA,New Jersey,Morristown,21-30,21-30,College degree,Woman,White,270000.0,270000.0
35-44,Medical Technology,133000,23000.0,USD,USA,Indiana,Batesville,21-30,8-10,Master's degree,Woman,White,156000.0,156000.0
35-44,BioTech,74000,0.0,USD,USA,Iowa,Coralville,11-20,11-20,College degree,Woman,White,74000.0,74000.0
35-44,Art & Design,109000,4000.0,USD,USA,Massachusetts,Boston,11-20,11-20,Master's degree,Woman,White,113000.0,113000.0
35-44,Computing or Tech,160000,105000.0,USD,USA,Texas,Dallas/Fort Worth,11-20,11-20,College degree,Woman,White,265000.0,265000.0
35-44,Nonprofits,36600,0.0,USD,USA,Ohio,Cuyahoga Falls,21-30,11-20,Master's degree,Woman,White,36600.0,36600.0
25-34,Computing or Tech,150000,0.0,USD,USA,California,San Francisco,5-7,2-4,College degree,Woman,White,150000.0,150000.0
45-54,Education (Higher Education),84000,0.0,USD,USA,Washington,Too Small,21-30,11-20,Master's degree,Woman,White,84000.0,84000.0
18-24,"Accounting, Banking & Finance",38105,0.0,USD,USA,New York,New York,0-1,0-1,College degree,Woman,White,38105.0,38105.0
25-34,Insurance,87000,11000.0,USD,USA,Oregon,Portland,11-20,2-4,Master's degree,Woman,White,98000.0,98000.0
45-54,"Marketing, Advertising & PR",220000,0.0,CAD,CANADA,,toronto,21-30,21-30,College degree,Woman,White,220000.0,158400.0
35-44,"Accounting, Banking & Finance",60000,0.0,USD,USA,North Carolina,Raleigh,8-10,8-10,College degree,Woman,White,60000.0,60000.0
35-44,Engineering or Manufacturing,70000,0.0,USD,USA,Virginia,Norfolk,8-10,2-4,College degree,Man,White,70000.0,70000.0
35-44,"Accounting, Banking & Finance",95000,10000.0,USD,USA,California,San Francisco ,11-20,0-1,College degree,Woman,White,105000.0,105000.0
45-54,Education (Primary/Secondary),249410,0.0,USD,USA,New York,Thornwood ,21-30,2-4,PhD,Man,White,249410.0,249410.0
25-34,Computing or Tech,42000,0.0,USD,USA,Illinois,Chicago,5-7,5-7,College degree,Woman,White,42000.0,42000.0
25-34,Social Work,61000,0.0,USD,USA,New York,Brooklyn,8-10,5-7,Master's degree,Woman,Black or African American,61000.0,61000.0
25-34,Art & Design,48000,850.0,USD,USA,Ohio,Columbus,8-10,5-7,College degree,Man,White,48850.0,48850.0
25-34,Utilities & Telecommunications,54000,0.0,USD,USA,California,"San Mateo, CA",2-4,2-4,College degree,Woman,Asian or Asian American,54000.0,54000.0
35-44,Nonprofits,125000,0.0,USD,USA,Maryland,Rockville,11-20,11-20,College degree,Woman,White,125000.0,125000.0
35-44,Education (Primary/Secondary),200000,60000.0,USD,USA,Arizona,Scottsdale,21-30,21-30,Master's degree,Woman,White,260000.0,260000.0
35-44,Health care,96800,0.0,USD,USA,Montana,Great Falls,11-20,2-4,"Professional degree (MD, JD, etc.)",Woman,White,96800.0,96800.0
35-44,Recruitment or HR,84000,0.0,USD,USA,District of Columbia,Washington,11-20,8-10,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",84000.0,84000.0
25-34,Engineering or Manufacturing,120000,15000.0,USD,USA,Connecticut,N/a,11-20,8-10,College degree,Woman,White,135000.0,135000.0
25-34,Law,94000,0.0,USD,USA,Oregon,Salem,5-7,5-7,Master's degree,Woman,White,94000.0,94000.0
45-54,Oil and Gas,350000,100000.0,USD,USA,Virginia,Arlington ,31-40,21-30,Master's degree,Woman,White,450000.0,450000.0
25-34,Health care,90000,0.0,USD,USA,California,San Francisco ,8-10,8-10,College degree,Other or prefer not to answer,Another option not listed here or prefer not to answer,90000.0,90000.0
25-34,Property or Construction,70000,45000.0,USD,USA,California,Los Angeles ,2-4,2-4,College degree,Woman,Asian or Asian American,115000.0,115000.0
45-54,Health care,65000,500.0,USD,USA,Illinois,Oak Brook,11-20,2-4,Master's degree,Woman,White,65500.0,65500.0
25-34,Nonprofits,61000,0.0,USD,USA,Illinois,Chicago,8-10,8-10,"Professional degree (MD, JD, etc.)",Woman,White,61000.0,61000.0
25-34,Media & Digital,86520,0.0,USD,USA,District of Columbia,Washington,5-7,5-7,College degree,Woman,White,86520.0,86520.0
35-44,Government and Public Administration,50000,0.0,USD,USA,Michigan,Saginaw,11-20,11-20,Master's degree,Woman,White,50000.0,50000.0
45-54,Government and Public Administration,125000,0.0,USD,USA,Michigan,Metro Detroit,21-30,21-30,Master's degree,Woman,Asian or Asian American,125000.0,125000.0
25-34,Health care,145000,2000.0,USD,USA,Alaska,Anchorage,2-4,2-4,"Professional degree (MD, JD, etc.)",Woman,White,147000.0,147000.0
45-54,Education (Primary/Secondary),68000,4000.0,USD,USA,North Carolina,Charlotte,21-30,11-20,Master's degree,Woman,White,72000.0,72000.0
25-34,Computing or Tech,150000,72500.0,USD,USA,California,San Francisco,8-10,2-4,Master's degree,Woman,White,222500.0,222500.0
35-44,Government and Public Administration,81500,0.0,USD,USA,New Jersey,Trenton,8-10,2-4,"Professional degree (MD, JD, etc.)",Woman,White,81500.0,81500.0
25-34,Mortgage,42000,0.0,USD,USA,Utah,Draper,8-10,5-7,College degree,Woman,White,42000.0,42000.0
25-34,Computing or Tech,120000,10000.0,USD,USA,Florida,Orlando,8-10,8-10,Master's degree,Man,White,130000.0,130000.0
45-54,Engineering or Manufacturing,155375,28000.0,USD,USA,Oklahoma,Tulsa,11-20,11-20,Master's degree,Woman,White,183375.0,183375.0
35-44,Business or Consulting,182000,3000.0,USD,USA,Utah,Draper,11-20,8-10,"Professional degree (MD, JD, etc.)",Woman,White,185000.0,185000.0
35-44,"Marketing, Advertising & PR",183000,0.0,USD,USA,New York,New York,11-20,11-20,College degree,Woman,White,183000.0,183000.0
45-54,Property or Construction,60000,2500.0,USD,USA,New Jersey,Chatham,11-20,2-4,Some college,Woman,White,62500.0,62500.0
